status,city_id,executant_id,customer_id,posting_date,specialization_id,description,deadline_date,name,address,payment,latitude,longitude
executing,883,3,19,2019-03-09,2,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,2021-11-15,enable impactful technologies,1 Eagan Crossing,6587,58.1201693,30.309285



executing,883,3,11,2019-07-03,3,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2019-12-07,exploit revolutionary portals,24043 Paget Alley,2904,58.1201693,30.309285



accomplished,43,1,19,2019-06-27,2,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2019-11-23,matrix next-generation e-commerce,2867 Dryden Pass,1170,44.16208,133.269622



failed,55,9,15,2019-01-01,1,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",2019-11-10,benchmark plug-and-play infomediaries,80 Cambridge Street,838,54.9907105,57.2783704



accomplished,82,2,20,2019-09-07,3,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2019-12-15,integrate cross-platform e-business,1 Stone Corner Junction,7484,52.9641169,43.4185003



failed,991,8,19,2018-11-01,7,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2019-11-24,enable dot-com niches,12 Stephen Terrace,5725,50.7904767,42.0288589



new,856,NULL,17,2019-09-13,5,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2021-11-19,transform web-enabled relationships,6213 Lake View Drive,4414,60.14458,30.2094595



canceled,294,NULL,15,2019-04-01,8,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",2019-11-14,strategize frictionless solutions,994 Corry Park,3454,55.0301386,36.7393279



new,193,NULL,17,2019-03-28,4,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2021-12-12,innovate seamless metrics,2 Bluestem Park,3101,47.5354416,134.7553701



new,NULL,NULL,16,2019-05-01,4,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",2021-12-19,integrate wireless infomediaries,NULL,6562,NULL,NULL